id,board_from,alight_to,arr_time
83,1,5,07:36:09.543432
84,1,9,07:36:36.092105
85,1,8,07:37:02.179062
86,1,4,07:37:28.153088
87,1,6,07:37:54.584806
88,1,5,07:38:20.785679
89,1,2,07:38:46.536752
90,1,9,07:39:12.510778
91,1,5,07:39:38.711651
92,1,2,07:40:04.352677
93,1,3,07:40:30.553550
94,1,10,07:40:56.640507
95,1,5,07:41:22.614533
96,1,7,07:41:48.815406
97,1,10,07:42:14.902363
98,1,4,07:42:41.103236
99,1,6,07:43:07.304109
100,1,8,07:43:33.166178
101,1,3,07:43:59.832845
102,1,2,07:44:26.381518
103,1,10,07:44:52.355544
104,1,2,07:45:18.329570
105,1,10,07:45:44.191639
106,1,5,07:46:10.053708
107,1,5,07:46:36.140665
108,1,3,07:47:02.227622
109,1,7,07:47:28.776295
110,1,6,07:47:55.092084
111,1,9,07:48:21.292957
112,1,2,07:48:47.959624
113,1,5,07:49:14.160497
114,1,9,07:49:40.476286
115,1,4,07:50:06.908004
116,1,4,07:50:32.994961
117,1,10,07:50:59.661628
118,1,4,07:51:25.748585
119,1,4,07:51:51.835542
120,1,9,07:52:17.922499
121,1,2,07:52:43.454414
122,1,7,07:53:09.886132
123,1,5,07:53:35.637205
124,1,3,07:54:01.499274
125,1,5,07:54:27.815063
126,1,2,07:54:53.346978
127,1,10,07:55:19.778696
128,1,7,07:55:46.445363
129,1,4,07:56:12.646236
130,1,10,07:56:39.312903
131,1,2,07:57:05.744621
132,1,2,07:57:32.293294
133,1,5,07:57:58.155363
134,1,3,07:58:24.017432
135,1,8,07:58:49.658458
136,1,8,07:59:15.409531
137,1,4,07:59:41.271600
138,1,4,08:00:07.587389
139,1,9,08:00:33.903178
140,1,9,08:00:59.544204
141,1,10,08:01:25.295277
142,1,3,08:01:50.827192
143,1,5,08:02:16.468218
144,1,5,08:02:42.219291
145,1,4,08:03:08.306248
146,1,8,08:03:34.280274
147,1,2,08:04:00.254300
148,1,6,08:04:26.455173
149,1,6,08:04:52.317242
150,1,9,08:05:18.518115
151,1,10,08:05:44.159141
152,1,3,08:06:10.021210
153,1,8,08:06:36.687877
154,1,4,08:07:02.774834
155,1,3,08:07:28.748860
156,1,5,08:07:55.180578
157,1,5,08:08:21.154604
158,1,7,08:08:47.703277
159,1,8,08:09:14.019066
160,1,10,08:09:39.881135
161,1,7,08:10:05.743204
162,1,2,08:10:31.275119
163,1,3,08:10:57.706837
164,1,7,08:11:23.568906
165,1,9,08:11:50.117579
166,1,5,08:12:15.758605
167,1,8,08:12:41.620674
168,1,7,08:13:08.169347
169,1,5,08:13:33.920420
170,1,8,08:13:59.894446
171,1,4,08:14:25.981403
172,1,2,08:14:51.843472
173,1,3,08:15:17.817498
174,1,3,08:15:44.018371
175,1,2,08:16:09.880440
176,1,2,08:16:35.631513
177,1,4,08:17:02.063231
178,1,6,08:17:28.264104
179,1,5,08:17:54.351061
180,1,8,08:18:20.102134
181,1,10,08:18:45.634049
182,1,3,08:19:11.608075
183,1,7,08:19:37.249101
184,1,7,08:20:03.223127
185,1,6,08:20:29.085196
186,1,3,08:20:55.172153
187,1,9,08:21:21.146179
188,1,4,08:21:46.897252
189,1,2,08:22:12.984209
190,1,6,08:22:38.735282
191,1,6,08:23:04.376308
192,1,10,08:23:30.017334
193,1,5,08:23:55.658360
194,1,8,08:24:21.632386
195,1,8,08:24:47.606412
196,1,7,08:25:14.155085
197,1,2,08:25:39.906158
198,1,10,08:26:05.768227
199,1,3,08:26:31.969100
200,1,5,08:26:57.501015
201,1,4,08:27:23.363084
202,1,10,08:27:49.337110
203,1,3,08:28:15.088183
204,1,2,08:28:41.289056
205,1,2,08:29:07.376013
206,1,5,08:29:33.576886
207,1,3,08:30:00.125559
208,1,10,08:30:26.674232
209,1,6,08:30:53.222905
210,1,8,08:31:19.771578
211,1,9,08:31:46.320251
212,1,6,08:32:12.868924
213,1,3,08:32:39.417597
214,1,5,08:33:05.966270
215,1,6,08:33:32.514943
216,1,8,08:33:59.063616
217,1,8,08:34:25.612289
218,1,8,08:34:52.160962
219,1,10,08:35:18.709635
220,1,10,08:35:45.258308
221,1,4,08:36:11.806981
222,1,5,08:36:38.355654
223,1,4,08:37:04.904327
224,1,8,08:37:31.453000
225,1,3,08:37:58.001673
226,1,4,08:38:24.550346
227,1,3,08:38:51.099019
228,1,8,08:39:17.647692
229,1,3,08:39:44.196365
230,1,3,08:40:10.745038
231,1,10,08:40:37.293711
232,1,8,08:41:03.842384
233,1,10,08:41:30.391057
234,1,10,08:41:56.939730
235,1,7,08:42:23.488403
236,1,2,08:42:50.037076
237,1,9,08:43:16.585749
238,1,9,08:43:43.134422
239,1,8,08:44:09.683095
240,1,3,08:44:36.231768
241,1,3,08:45:02.780441
242,1,10,08:45:29.329114
243,1,7,08:45:55.877787
244,1,10,08:46:22.426460
245,1,3,08:46:48.975133
246,1,10,08:47:15.523806
247,1,10,08:47:42.072479
248,1,5,08:48:08.621152
249,1,3,08:48:35.169825
250,1,3,08:49:01.718498
251,1,5,08:49:28.267171
252,1,4,08:49:54.815844
253,1,5,08:50:21.364517
254,1,9,08:50:47.913190
255,1,10,08:51:14.461863
256,1,5,08:51:41.010536
257,1,4,08:52:07.559209
258,1,8,08:52:34.107882
259,1,5,08:53:00.656555
260,1,7,08:53:27.205228
261,1,5,08:53:53.753901
262,1,7,08:54:20.302574
263,1,3,08:54:46.851247
264,1,4,08:55:13.399920
265,1,2,08:55:39.948593
266,1,7,08:56:06.497266
267,1,5,08:56:33.045939
268,1,5,08:56:59.594612
269,1,5,08:57:26.143285
270,1,4,08:57:52.691958
271,1,2,08:58:19.240631
272,1,2,08:58:45.789304
273,1,7,08:59:12.337977
274,1,2,08:59:38.886650
275,1,2,09:00:05.435323
276,1,6,09:00:31.983996
277,1,4,09:00:58.532669
278,1,10,09:01:25.081342
279,1,4,09:01:51.630015
280,1,5,09:02:18.178688
281,1,6,09:02:44.727361
282,1,8,09:03:11.276034
283,1,7,09:03:37.824707
284,1,2,09:04:04.373380
285,1,5,09:04:30.922053
286,1,5,09:04:57.470726
287,1,8,09:05:24.019399
288,1,8,09:05:50.568072
289,1,10,09:06:17.116745
290,1,5,09:06:43.665418
291,1,10,09:07:10.214091
292,1,4,09:07:36.762764
293,1,10,09:08:03.311437
294,1,3,09:08:29.860110
295,1,2,09:08:56.408783
296,1,4,09:09:22.957456
297,1,2,09:09:49.506129
298,1,5,09:10:16.054802
299,1,5,09:10:42.603475
300,1,6,09:11:09.152148
301,1,7,09:11:35.700821
302,1,3,09:12:02.249494
303,1,6,09:12:28.798167
304,1,8,09:12:55.346840
305,1,7,09:13:21.895513
306,1,9,09:13:48.444186
307,1,9,09:14:14.992859
308,1,4,09:14:41.541532
309,1,4,09:15:08.090205
310,1,2,09:15:34.638878
311,1,10,09:16:01.187551
312,1,4,09:16:27.736224
313,1,5,09:16:54.284897
314,1,10,09:17:20.833570
315,1,2,09:17:47.382243
316,1,4,09:18:13.930916
317,1,9,09:18:40.479589
318,1,10,09:19:07.028262
319,1,6,09:19:33.576935
320,1,4,09:20:00.125608
321,1,5,09:20:26.674281
322,1,6,09:20:53.222954
323,1,7,09:21:19.771627
324,1,6,09:21:46.320300
325,1,8,09:22:12.868973
326,1,10,09:22:39.417646
327,1,4,09:23:05.966319
328,1,6,09:23:32.514992
329,1,4,09:23:59.063665
330,1,2,09:24:25.612338
331,1,9,09:24:52.161011
332,1,7,09:25:18.709684
333,1,6,09:25:45.258357
334,1,8,09:26:11.807030
335,1,6,09:26:38.355703
336,1,3,09:27:04.904376
337,1,5,09:27:31.453049
338,1,7,09:27:58.001722
339,1,4,09:28:24.550395
340,1,4,09:28:51.099068
341,1,4,09:29:17.647741
342,1,10,09:29:44.196414
343,1,6,09:30:10.745087
344,1,3,09:30:37.293760
345,1,5,09:31:03.842433
346,1,2,09:31:30.391106
347,1,7,09:31:56.939779
348,1,3,09:32:23.488452
349,1,10,09:32:50.037125
350,1,9,09:33:16.585798
351,1,9,09:33:43.134471
352,1,2,09:34:09.683144
353,1,10,09:34:36.231817
354,1,7,09:35:02.780490
355,1,7,09:35:29.329163
356,1,5,09:35:55.877836
357,1,10,09:36:22.426509
358,1,10,09:36:48.975182
359,1,7,09:37:15.523855
360,1,2,09:37:42.072528
361,1,4,09:38:08.621201
362,1,5,09:38:35.169874
363,1,6,09:39:01.718547
364,1,6,09:39:28.267220
365,1,8,09:39:54.815893
366,1,2,09:40:21.364566
367,1,8,09:40:47.913239
368,1,4,09:41:14.461912
369,1,9,09:41:41.010585
370,1,3,09:42:07.559258
371,1,2,09:42:34.107931
372,1,8,09:43:00.656604
373,1,6,09:43:27.205277
374,1,2,09:43:53.753950
375,1,2,09:44:20.302623
376,1,8,09:44:46.851296
377,1,4,09:45:13.399969
378,1,9,09:45:39.948642
379,1,10,09:46:06.497315
380,1,8,09:46:33.045988
381,1,6,09:46:59.594661
382,1,10,09:47:26.143334
383,1,9,09:47:52.692007
384,1,4,09:48:19.240680
385,1,3,09:48:45.789353
386,1,3,09:49:12.338026
387,1,8,09:49:38.886699
388,1,10,09:50:05.435372
389,1,10,09:50:31.984045
390,1,7,09:50:58.532718
391,1,10,09:51:25.081391
392,1,7,09:51:51.630064
393,1,6,09:52:18.178737
394,1,10,09:52:44.727410
395,1,9,09:53:11.276083
396,1,3,09:53:37.824756
397,1,10,09:54:04.373429
398,1,9,09:54:30.922102
399,1,5,09:54:57.470775
400,1,6,09:55:24.019448
401,1,4,09:55:50.568121
402,1,10,09:56:17.116794
403,1,8,09:56:43.665467
404,1,8,09:57:10.214140
405,1,5,09:57:36.762813
406,1,8,09:58:03.311486
407,1,2,09:58:29.860159
408,1,9,09:58:56.408832
409,1,7,09:59:22.957505
410,1,8,09:59:49.506178
411,1,3,10:00:16.054851
412,1,5,10:00:42.141808
413,1,10,10:01:08.115834
414,1,8,10:01:33.756860
415,1,5,10:02:00.072649
416,1,4,10:02:25.713675
417,1,7,10:02:51.800632
418,1,3,10:03:17.662701
419,1,4,10:03:43.978490
420,1,10,10:04:09.952516
421,1,6,10:04:35.593542
422,1,4,10:05:01.680499
423,1,10,10:05:27.654525
424,1,8,10:05:53.186440
425,1,10,10:06:19.387313
426,1,10,10:06:45.588186
427,1,8,10:07:12.254853
428,1,9,10:07:38.228879
429,1,6,10:08:04.429752
430,1,7,10:08:30.291821
431,1,7,10:08:56.492694
432,1,7,10:09:22.133720
433,1,4,10:09:48.107746
434,1,2,10:10:14.539464
435,1,6,10:10:40.855253
436,1,9,10:11:06.829279
437,1,7,10:11:33.145068
438,1,5,10:11:59.119094
439,1,10,10:12:25.550812
440,1,2,10:12:51.982530
441,1,10,10:13:17.844599
442,1,8,10:13:44.045472
443,1,5,10:14:10.712139
444,1,2,10:14:36.913012
445,1,9,10:15:03.344730
446,1,2,10:15:29.545603
447,1,4,10:15:55.407672
448,1,5,10:16:21.269741
449,1,9,10:16:46.910767
450,1,9,10:17:12.884793
451,1,10,10:17:38.858819
452,1,2,10:18:04.720888
453,1,8,10:18:30.471961
454,1,4,10:18:56.787750
455,1,6,10:19:22.988623
456,1,8,10:19:49.304412
457,1,8,10:20:15.278438
458,1,2,10:20:41.827111
459,1,8,10:21:07.359026
460,1,10,10:21:34.025693
461,1,4,10:21:59.887762
462,1,4,10:22:26.203551
463,1,6,10:22:51.844577
464,1,2,10:23:17.595650
465,1,8,10:23:44.027368
466,1,7,10:24:10.576041
467,1,6,10:24:36.327114
468,1,10,10:25:02.078187
469,1,5,10:25:28.165144
470,1,4,10:25:53.806170
471,1,2,10:26:20.007043
472,1,10,10:26:45.758116
473,1,8,10:27:12.073905
474,1,10,10:27:38.622578
475,1,3,10:28:04.596604
476,1,4,10:28:30.683561
477,1,6,10:28:56.324587
478,1,2,10:29:22.411544
479,1,5,10:29:48.843262
480,1,9,10:30:14.484288
481,1,4,10:30:40.800077
482,1,9,10:31:07.115866
483,1,5,10:31:32.756892
484,1,10,10:31:58.618961
485,1,5,10:32:24.592987
486,1,10,10:32:50.344060
487,1,2,10:33:16.095133
488,1,3,10:33:42.296006
489,1,10,10:34:08.611795
490,1,6,10:34:34.362868
491,1,8,10:35:00.224937
492,1,8,10:35:26.773610
493,1,8,10:35:52.860567
494,1,2,10:36:18.392482
495,1,3,10:36:44.033508
496,1,4,10:37:10.234381
497,1,8,10:37:35.985454
498,1,3,10:38:01.959480
499,1,6,10:38:28.275269
500,1,10,10:38:54.362226
501,1,8,10:39:20.910899
502,1,10,10:39:46.551925
503,1,3,10:40:13.100598
504,1,9,10:40:38.741624
505,1,3,10:41:04.382650
506,1,4,10:41:30.133723
507,1,2,10:41:56.334596
508,1,5,10:42:21.975622
509,1,5,10:42:47.949648
510,1,4,10:43:14.498321
511,1,6,10:43:40.360390
512,1,9,10:44:06.676179
513,1,8,10:44:32.427252
514,1,9,10:44:58.628125
515,1,5,10:45:24.379198
516,1,3,10:45:50.927871
517,1,7,10:46:16.568897
518,1,8,10:46:42.884686
519,1,8,10:47:09.433359
520,1,3,10:47:35.184432
521,1,5,10:48:00.935505
522,1,9,10:48:26.576531
523,1,10,10:48:53.008249
524,1,7,10:49:19.556922
525,1,7,10:49:45.307995
526,1,4,10:50:11.623784
527,1,8,10:50:38.055502
528,1,6,10:51:04.029528
529,1,7,10:51:30.230401
530,1,2,10:51:56.092470
531,1,3,10:52:22.066496
532,1,2,10:52:48.382285
533,1,4,10:53:14.814003
534,1,2,10:53:40.788029
535,1,10,10:54:06.988902
536,1,5,10:54:32.629928
537,1,2,10:54:59.061646
538,1,2,10:55:24.812719
539,1,5,10:55:51.128508
540,1,9,10:56:16.769534
541,1,5,10:56:43.201252
542,1,5,10:57:09.632970
543,1,2,10:57:35.948759
544,1,7,10:58:02.149632
545,1,2,10:58:28.698305
546,1,10,10:58:54.560374
547,1,10,10:59:21.227041
548,1,10,10:59:46.978114
549,1,6,11:00:13.644781
550,1,4,11:00:40.193454
551,1,7,11:01:06.860121
552,1,3,11:01:33.175910
553,1,5,11:01:58.816936
554,1,9,11:02:24.790962
555,1,3,11:02:51.457629
556,1,5,11:03:17.319698
557,1,5,11:03:43.868371
558,1,8,11:04:10.300089
559,1,9,11:04:36.051162
560,1,9,11:05:01.802235
561,1,3,11:05:27.889192
562,1,4,11:05:54.204981
563,1,8,11:06:20.753654
564,1,10,11:06:47.302327
565,1,10,11:07:13.389284
566,1,6,11:07:39.705073
567,1,8,11:08:05.905946
568,1,7,11:08:32.337664
569,1,2,11:08:57.978690
570,1,7,11:09:24.065647
571,1,9,11:09:50.039673
572,1,5,11:10:16.471391
573,1,10,11:10:42.112417
574,1,6,11:11:07.753443
575,1,6,11:11:33.840400
576,1,5,11:11:59.702469
577,1,10,11:12:25.564538
578,1,10,11:12:51.996256
579,1,6,11:13:17.970282
580,1,2,11:13:44.636949
581,1,3,11:14:10.388022
582,1,3,11:14:36.362048
583,1,2,11:15:02.910721
584,1,4,11:15:28.661794
585,1,8,11:15:54.635820
586,1,3,11:16:20.951609
587,1,8,11:16:46.925635
588,1,7,11:17:13.012592
589,1,2,11:17:39.561265
590,1,10,11:18:05.423334
591,1,10,11:18:31.064360
592,1,6,11:18:56.705386
593,1,4,11:19:22.346412
594,1,8,11:19:47.987438
595,1,10,11:20:14.303227
596,1,7,11:20:40.969894
597,1,2,11:21:07.636561
598,1,2,11:21:34.068279
599,1,2,11:22:00.616952
600,1,9,11:22:26.257978
601,1,6,11:22:52.806651
602,1,3,11:23:18.447677
603,1,4,11:23:44.763466
604,1,7,11:24:10.964339
605,1,10,11:24:37.631006
606,1,9,11:25:04.179679
607,1,10,11:25:30.611397
608,1,7,11:25:56.698354
609,1,5,11:26:23.130072
610,1,9,11:26:49.678745
611,1,10,11:27:15.652771
612,1,9,11:27:41.853644
613,1,3,11:28:07.715713
614,1,7,11:28:33.802670
615,1,9,11:28:59.443696
616,1,9,11:29:25.644569
617,1,3,11:29:52.311236
618,1,6,11:30:18.285262
619,1,9,11:30:44.147331
620,1,8,11:31:09.898404
621,1,6,11:31:35.430319
622,1,3,11:32:01.978992
623,1,8,11:32:27.730065
624,1,8,11:32:54.161783
625,1,9,11:33:19.802809
626,1,7,11:33:46.234527
627,1,5,11:34:12.435400
628,1,6,11:34:38.636273
629,1,8,11:35:04.837146
630,1,6,11:35:31.038019
631,1,4,11:35:57.704686
632,1,5,11:36:24.253359
633,1,4,11:36:50.920026
634,1,5,11:37:17.586693
635,1,8,11:37:43.902482
636,1,8,11:38:10.334200
637,1,4,11:38:36.882873
638,1,10,11:39:03.314591
639,1,2,11:39:28.955617
640,1,2,11:39:55.387335
641,1,4,11:40:21.249404
642,1,2,11:40:46.890430
643,1,6,11:41:12.752499
644,1,10,11:41:39.184217
645,1,2,11:42:05.385090
646,1,3,11:42:31.816808
647,1,8,11:42:57.903765
648,1,8,11:43:23.990722
649,1,10,11:43:49.852791
650,1,3,11:44:16.519458
651,1,3,11:44:42.051373
652,1,7,11:45:07.802446
653,1,6,11:45:34.003319
654,1,3,11:45:59.754392
655,1,2,11:46:25.955265
656,1,5,11:46:52.271054
657,1,3,11:47:18.133123
658,1,7,11:47:43.884196
659,1,4,11:48:09.525222
660,1,2,11:48:35.612179
661,1,8,11:49:01.144094
662,1,5,11:49:27.006163
663,1,5,11:49:53.093120
664,1,8,11:50:18.734146
665,1,4,11:50:44.708172
666,1,6,11:51:11.256845
667,1,10,11:51:37.343802
668,1,9,11:52:03.094875
669,1,7,11:52:28.956944
670,1,2,11:52:54.930970
671,1,5,11:53:21.479643
672,1,2,11:53:47.795432
673,1,8,11:54:13.436458
674,1,6,11:54:39.187531
675,1,8,11:55:05.854198
676,1,8,11:55:32.169987
677,1,2,11:55:58.256944
678,1,5,11:56:24.923611
679,1,2,11:56:51.355329
680,1,8,11:57:17.671118
681,1,6,11:57:43.758075
682,1,2,11:58:09.958948
683,1,9,11:58:35.599974
684,1,5,11:59:02.031692
685,1,10,11:59:28.580365
686,1,8,11:59:54.221391
687,1,5,12:00:20.308348
688,1,10,12:00:46.624137
689,1,7,12:01:12.156052
690,1,7,12:01:38.130078
691,1,6,12:02:04.217035
692,1,8,12:02:30.765708
693,1,10,12:02:56.516781
694,1,2,12:03:22.603738
695,1,4,12:03:49.035456
696,1,4,12:04:15.122413
697,1,4,12:04:41.671086
698,1,4,12:05:07.422159
699,1,2,12:05:33.970832
700,1,8,12:05:59.611858
701,1,5,12:06:26.043576
702,1,7,12:06:52.475294
703,1,2,12:07:18.562251
704,1,5,12:07:44.313324
705,1,10,12:08:10.629113
706,1,7,12:08:36.603139
707,1,2,12:09:02.690096
708,1,8,12:09:29.238769
709,1,2,12:09:54.770684
710,1,8,12:10:20.521757
711,1,8,12:10:46.837546
712,1,3,12:11:13.153335
713,1,2,12:11:39.127361
714,1,8,12:12:05.328234
715,1,7,12:12:31.415191
716,1,2,12:12:57.846909
717,1,4,12:13:24.047782
718,1,10,12:13:50.596455
719,1,7,12:14:16.683412
720,1,10,12:14:42.324438
721,1,8,12:15:08.525311
722,1,3,12:15:35.073984
723,1,4,12:16:01.160941
724,1,9,12:16:27.361814
725,1,3,12:16:53.223883
726,1,8,12:17:19.197909
727,1,4,12:17:45.171935
728,1,10,12:18:11.145961
729,1,7,12:18:37.694634
730,1,4,12:19:03.445707
731,1,10,12:19:29.086733
732,1,6,12:19:55.060759
733,1,9,12:20:21.147716
734,1,7,12:20:46.898789
735,1,8,12:21:13.330507
736,1,2,12:21:38.971533
737,1,9,12:22:04.612559
738,1,4,12:22:30.586585
739,1,9,12:22:57.253252
740,1,10,12:23:23.340209
741,1,7,12:23:48.872124
742,1,7,12:24:14.846150
743,1,3,12:24:40.597223
744,1,5,12:25:06.129138
745,1,5,12:25:31.991207
746,1,2,12:25:58.078164
747,1,10,12:26:23.610079
748,1,4,12:26:50.276746
749,1,9,12:27:16.027819
750,1,5,12:27:42.114776
751,1,9,12:28:08.663449
752,1,7,12:28:34.304475
753,1,7,12:29:00.971142
754,1,3,12:29:26.833211
755,1,8,12:29:53.381884
756,1,9,12:30:19.355910
757,1,9,12:30:44.887825
758,1,7,12:31:10.528851
759,1,5,12:31:36.279924
760,1,5,12:32:02.253950
761,1,6,12:32:28.340907
762,1,3,12:32:54.427864
763,1,4,12:33:20.514821
764,1,6,12:33:46.155847
765,1,5,12:34:12.356720
766,1,9,12:34:38.107793
767,1,5,12:35:04.081819
768,1,7,12:35:30.397608
769,1,8,12:35:56.038634
770,1,10,12:36:21.900703
771,1,10,12:36:47.432618
772,1,8,12:37:14.099285
773,1,3,12:37:40.647958
774,1,10,12:38:06.621984
775,1,4,12:38:32.153899
776,1,10,12:38:58.585617
777,1,7,12:39:24.117532
778,1,10,12:39:50.433321
779,1,5,12:40:16.407347
780,1,9,12:40:42.381373
781,1,10,12:41:08.132446
782,1,6,12:41:33.883519
783,1,5,12:42:00.199308
784,1,8,12:42:26.400181
785,1,5,12:42:52.715970
786,1,3,12:43:19.264643
787,1,10,12:43:45.931310
788,1,2,12:44:11.793379
789,1,3,12:44:38.460046
790,1,6,12:45:04.660919
791,1,2,12:45:30.634945
792,1,4,12:45:56.386018
793,1,8,12:46:22.934691
794,1,4,12:46:49.135564
795,1,7,12:47:14.886637
796,1,7,12:47:40.748706
797,1,3,12:48:07.297379
798,1,3,12:48:33.498252
799,1,8,12:48:59.585209
800,1,3,12:49:25.559235
801,1,4,12:49:52.107908
802,1,2,12:50:17.639823
803,1,9,12:50:43.280849
804,1,8,12:51:09.254875
805,1,4,12:51:35.005948
806,1,6,12:52:01.437666
807,1,7,12:52:26.969581
808,1,7,12:52:52.831650
809,1,4,12:53:18.472676
810,1,10,12:53:45.021349
811,1,9,12:54:11.570022
812,1,6,12:54:37.885811
813,1,4,12:55:04.434484
814,1,9,12:55:30.185557
815,1,4,12:55:56.617275
816,1,9,12:56:22.368348
817,1,8,12:56:48.230417
818,1,5,12:57:13.871443
819,1,6,12:57:39.958400
820,1,2,12:58:05.820469
821,1,3,12:58:32.136258
822,1,9,12:58:58.452047
823,1,2,12:59:24.426073
824,1,3,12:59:50.177146
825,1,5,13:00:16.039215
826,1,3,13:00:42.013241
827,1,4,13:01:08.214114
828,1,3,13:01:34.645832
829,1,8,13:02:01.194505
830,1,5,13:02:27.281462
831,1,5,13:02:53.255488
832,1,9,13:03:19.456361
833,1,8,13:03:45.888079
834,1,3,13:04:12.436752
835,1,10,13:04:38.637625
836,1,2,13:05:05.186298
837,1,10,13:05:31.734971
838,1,7,13:05:58.050760
839,1,8,13:06:23.691786
840,1,9,13:06:49.892659
841,1,8,13:07:16.441332
842,1,4,13:07:42.415358
843,1,4,13:08:09.082025
844,1,6,13:08:35.513743
845,1,8,13:09:01.714616
846,1,6,13:09:27.576685
847,1,2,13:09:54.125358
848,1,3,13:10:20.441147
849,1,10,13:10:46.082173
850,1,4,13:11:12.397962
851,1,8,13:11:38.484919
852,1,6,13:12:04.800708
853,1,7,13:12:31.116497
854,1,5,13:12:57.317370
855,1,2,13:13:23.866043
856,1,9,13:13:50.066916
857,1,5,13:14:15.928985
858,1,7,13:14:42.595652
859,1,8,13:15:08.569678
860,1,9,13:15:34.210704
861,1,5,13:16:00.297661
862,1,6,13:16:26.498534
863,1,9,13:16:52.585491
864,1,8,13:17:18.559517
865,1,3,13:17:44.421586
866,1,10,13:18:10.283655
867,1,2,13:18:36.034728
868,1,7,13:19:02.701395
869,1,6,13:19:28.452468
870,1,10,13:19:54.539425
871,1,2,13:20:21.206092
872,1,9,13:20:47.406965
873,1,7,13:21:13.838683
874,1,7,13:21:39.925640
875,1,8,13:22:05.899666
876,1,6,13:22:31.761735
877,1,5,13:22:57.623804
878,1,3,13:23:23.939593
879,1,7,13:23:49.801662
880,1,6,13:24:16.002535
881,1,10,13:24:41.976561
882,1,8,13:25:07.950587
883,1,9,13:25:34.266376
884,1,6,13:26:00.353333
885,1,6,13:26:25.994359
886,1,6,13:26:51.856428
887,1,10,13:27:17.718497
888,1,5,13:27:43.359523
889,1,2,13:28:09.446480
890,1,8,13:28:35.762269
891,1,8,13:29:01.849226
892,1,5,13:29:28.397899
893,1,8,13:29:54.484856
894,1,4,13:30:20.235929
895,1,2,13:30:45.876955
896,1,6,13:31:11.850981
897,1,10,13:31:37.492007
898,1,3,13:32:03.578964
899,1,5,13:32:30.245631
900,1,10,13:32:56.332588
901,1,4,13:33:22.419545
902,1,9,13:33:48.170618
903,1,7,13:34:13.921691
904,1,7,13:34:39.895717
905,1,2,13:35:06.562384
906,1,8,13:35:32.203410
907,1,10,13:35:58.177436
908,1,5,13:36:24.844103
909,1,5,13:36:50.931060
910,1,6,13:37:17.479733
911,1,6,13:37:43.795522
912,1,9,13:38:10.344195
913,1,10,13:38:36.431152
914,1,8,13:39:02.746941
915,1,3,13:39:28.498014
916,1,7,13:39:54.249087
917,1,5,13:40:20.000160
918,1,5,13:40:46.201033
919,1,6,13:41:12.749706
920,1,3,13:41:38.281621
921,1,10,13:42:04.255647
922,1,3,13:42:30.804320
923,1,8,13:42:57.005193
924,1,8,13:43:22.646219
925,1,9,13:43:48.847092
926,1,2,13:44:15.278810
927,1,2,13:44:41.945477
928,1,7,13:45:08.032434
929,1,6,13:45:34.464152
930,1,6,13:46:00.779941
931,1,5,13:46:26.531014
